TABELA DE INSUMOS;;;;;;;;;;;
;;;;;;;;;;;
Item;CÓDIGO DA SOLUÇÃO NA PIR/SIAC;Produto (Solução);Quantidade;Descrição do Insumo;Detalhamento;Código RM;;;;;
3196;BA00000000749/1440000215;Analisando seu Mercado Na Medida;1;Evento/Flip Chart ;;02.01.0054 ;;;;;
3262;BA00000000749/1440000215;Analisando seu Mercado Na Medida;1;Evento/Projetor multimídia com rack - Tipo 1 ;;02.01.0263 ;;;;;
3331;BA00000000749/1440000215;Analisando seu Mercado Na Medida;1;Serviços Prestados Instrutoria ;;02.01.0998 ;;;;;
3397;BA00000000749/1440000215;Analisando seu Mercado Na Medida;1;Tela de Projeção ;;01.08.0057 ;;;;;
772;BA00000000643/031440000090;ANALISE DE MERCADO PARA COMEÇAR BEM;NP;Começar Bem/Kit do participante Analise de Mercado;;;;;;;
773;BA00000000643/031440000090;ANALISE DE MERCADO PARA COMEÇAR BEM;NP;Começar Bem/MP Analise de Mercado;;;;;;;
933;BA00000000643/031440000090;ANALISE DE MERCADO PARA COMEÇAR BEM;NP;Matriz/Caneta - Produto Sustentavel;;01.06.0237;;;;;
1477;BA00000000643/031440000090;ANALISE DE MERCADO PARA COMEÇAR BEM;24;Impresso/IMAGENS E FRASES DE MARKETING RELATIVAS AO TEMA DA OFICINA;;;;;;;
10;BA00000000643/031440000090;ANALISE DE NEGOCIOS PARA COMEÇAR BEM;NP;Expediente/Borracha - Bicolor - Macia 52x18x7 mm;;01.02.0016;;;;;
41;BA00000000643/031440000090;ANALISE DE NEGOCIOS PARA COMEÇAR BEM;NP;Expediente/Crachá Plástico com Prendedor - PCT 50;;01.02.0037;;;;;
101;BA00000000643/031440000090;ANALISE DE NEGOCIOS PARA COMEÇAR BEM;NP;Expediente/Lápis Apontado - Preto - nº 02;;01.02.0070;;;;;
222;BA00000000643/031440000090;ANALISE DE NEGOCIOS PARA COMEÇAR BEM;1;Caixa de Bombom;;;;;;;
373;BA00000000643/031440000090;ANALISE DE NEGOCIOS PARA COMEÇAR BEM;30;Expediente/Papel Flip Chart;;01.02.0179;;;;;
934;BA00000000643/031440000090;ANALISE DE NEGOCIOS PARA COMEÇAR BEM;NP;Matriz/Caneta - Produto Sustentavel;;01.06.0237;;;;;
935;BA00000000643/031440000090;ANALISE DE NEGOCIOS PARA COMEÇAR BEM;NP;Matriz/Caneta - Produto Sustentavel;;01.06.0237;;;;;
1060;BA00000000643/031440000090;ANALISE DE NEGOCIOS PARA COMEÇAR BEM;NP;Gráfica/Certificado - Matriz- Produto Sustentavel;;02.01.0483;;;;;
1101;BA00000000643/031440000090;ANALISE DE NEGOCIOS PARA COMEÇAR BEM;NP;Gráfica/Bloco de Anotação - Matriz - Produto Sustentavel;;02.01.0487;;;;;
1592;BA00000000643/031440000090;ANALISE DE NEGOCIOS PARA COMEÇAR BEM;NP;Manual do Participante;;;;;;;
1699;BA00000000643/031440000090;ANALISE DE NEGOCIOS PARA COMEÇAR BEM;NP;Matriz/Formulário de avaliação;;;;;;;
1752;BA00000000643/031440000090;ANALISE DE NEGOCIOS PARA COMEÇAR BEM;1;Matriz/Lista de Presença;;;;;;;
1855;BA00000000643/031440000090;ANALISE DE NEGOCIOS PARA COMEÇAR BEM;3;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Preto;;01.02.0190;;;;;
2249;BA00000000643/031440000090;ANALISE DE NEGOCIOS PARA COMEÇAR BEM;1;Expediente/Barbante 4/8;;01.02.0045;;;;;
2378;BA00000000643/031440000090;ANALISE DE NEGOCIOS PARA COMEÇAR BEM;3;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Verde;;01.02.0345;;;;;
2379;BA00000000643/031440000090;ANALISE DE NEGOCIOS PARA COMEÇAR BEM;3;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Vermelha;;01.02.0346;;;;;
2380;BA00000000643/031440000090;ANALISE DE NEGOCIOS PARA COMEÇAR BEM;3;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Azul;;01.02.0120;;;;;
3006;BA00000000643/031440000090;ANALISE DE NEGOCIOS PARA COMEÇAR BEM;1;Caixa de Som ;;01.08.0010 ;;;;;
3068;BA00000000643/031440000090;ANALISE DE NEGOCIOS PARA COMEÇAR BEM;NP;Evento/Coffee Break - TIPO 1 ;;02.01.0222 ;;;;;
3134;BA00000000643/031440000090;ANALISE DE NEGOCIOS PARA COMEÇAR BEM;1;Evento/Computador ;;02.01.0046 ;;;;;
3197;BA00000000643/031440000090;ANALISE DE NEGOCIOS PARA COMEÇAR BEM;1;Evento/Flip Chart ;;02.01.0054 ;;;;;
3263;BA00000000643/031440000090;ANALISE DE NEGOCIOS PARA COMEÇAR BEM;1;Evento/Projetor multimídia com rack - Tipo 1 ;;02.01.0263 ;;;;;
3332;BA00000000643/031440000090;ANALISE DE NEGOCIOS PARA COMEÇAR BEM;1;Serviços Prestados Instrutoria ;;02.01.0998 ;;;;;
3398;BA00000000643/031440000090;ANALISE DE NEGOCIOS PARA COMEÇAR BEM;1;Tela de Projeção ;;01.08.0057 ;;;;;
42;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;NP;Expediente/Crachá Plástico com Prendedor - PCT 50;;01.02.0037;;;;;
102;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;30;Expediente/Lápis Apontado - Preto - nº 02;;01.02.0070;;;;;
166;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;2;Expediente/Papel Cartolina - Amarela;Cartões de cartolina (10cmx 07 cm) cor amarela ;01.02.0090;;;;;
374;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;2;Expediente/Papel Flip Chart;;01.02.0179;;;;;
496;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;1;Expediente/Fita Adesiva - Crepe - 19x50;;01.02.0313;;;;;
585;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;11;Expediente/Papel Cartolina - Azul;100 TARJETAS 10 X 30 CM AZUL;01.02.0405;;;;;
586;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;1;Expediente/Papel Cartolina - Azul;6 TARJETAS 10 X 30 CM AZUL;01.02.0405;;;;;
644;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;10;Expediente/Papel Cartolina - Amarela;100 TARJETAS 10 X 25 CM AMARELO;01.02.0406;;;;;
645;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;1;Expediente/Papel Cartolina - Amarela;6 TARJETAS 10 X 30 CM AMARELO;01.02.0406;;;;;
646;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;1;Expediente/Papel Cartolina - Branca;6 TARJETAS 10 X 30 CM BRANCA;01.02.0406;;;;;
680;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;2;Expediente/Papel Cartolina - Verde;Cartões de cartolina (10cmx 07 cm) cor verde ;01.02.0409;;;;;
681;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;1;Expediente/Papel Cartolina - Verde;6 TARJETAS 10 X 30 CM VERDE;01.02.0409;;;;;
697;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;2;Expediente/Papel Cartolina - Vermelho;Cartões de cartolina (10cmx 07 cm) cor vermelha ;01.02.0410;;;;;
698;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;1;Expediente/Papel Sulfit - Azul;90 Tarjetas de papel sulfite (10 cm x 25 cm) cor azul ;01.02.0421;;;;;
702;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;1;Expediente/Papel Sulfit - Rosa;60 Tarjetas de papel sulfite (10 cm x 25 cm) cor vermelha ;01.02.0422;;;;;
803;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;30;Expediente/Bloco Notas Adesivas Removiveis 76x102 mm;Bloco de Post-it de cor amarela ;01.02.0607;;;;;
804;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;30;Expediente/Bloco Notas Adesivas Removiveis 76x102 mm;Bloco de Post-it de cor azul ;01.02.0607;;;;;
805;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;30;Expediente/Bloco Notas Adesivas Removiveis 76x102 mm;Bloco de Post-it de cor laranja ;01.02.0607;;;;;
936;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;NP;Matriz/Caneta - Produto Sustentavel;;01.06.0237;;;;;
960;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;1;Check Item/CD/MÚSICA RELAXANTE ;;;;;;;
966;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;1;Check Item/CESTA DE LIXO;Pode ser o lixo da sala se estiver limpo ou cesta confeccionada em jornal ou um saco plástico;;;;;;
1201;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;30;Começar Bem/MP Análise de Ofertas de Franquia;;;;;;;
1316;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;1;Expediente/Papel Cartolina - Laranja;6 TARJETAS 10 X 30 CM LARANJA6 ;;;;;;
1856;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;8;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Preto;;01.02.0190;;;;;
2381;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;8;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Verde;;01.02.0345;;;;;
2382;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;8;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Vermelha;;01.02.0346;;;;;
2383;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;8;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Azul;;01.02.0120;;;;;
3007;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;1;Caixa de Som ;;01.08.0010 ;;;;;
3069;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;NP;Evento/Coffee Break - TIPO 1 ;;02.01.0222 ;;;;;
3135;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;1;Evento/Computador ;;02.01.0046 ;;;;;
3198;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;1;Evento/Flip Chart ;;02.01.0054 ;;;;;
3264;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;1;Evento/Projetor multimídia com rack - Tipo 1 ;;02.01.0263 ;;;;;
3333;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;1;Serviços Prestados Instrutoria ;;02.01.0998 ;;;;;
3399;BA00000000516/010000002115;ANALISE DE OFERTAS DE FRANQUIA PARA COMECAR BEM;1;Tela de Projeção ;;01.08.0057 ;;;;;
48;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;NP;Expediente/Crachá Plástico com Prendedor - PCT 50;;01.02.0037;;;;;
300;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;30;Expediente/Pasta com Aba de Elástico Tamanho Ofício ;;01.02.0110;;;;;
383;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;40;Expediente/Papel Flip Chart;;01.02.0179;;;;;
502;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;1;Expediente/Fita Adesiva - Crepe - 19x50;;01.02.0313;;;;;
590;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;6;Expediente/Papel Cartolina - Azul;CARTÕES DE CARTOLINAS (10X07CM);01.02.0405;;;;;
591;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;11;Expediente/Papel Cartolina - Azul;100 TARJETAS 10 X 30 CM AZUL;01.02.0405;;;;;
623;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;1;Expediente/Papel Cartolina - Azul;6 TARJETAS 10 X 30 CM AZUL;01.02.0405;;;;;
649;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;10;Expediente/Papel Cartolina - Amarela;100 TARJETAS 10 X 25 CM AMARELO;01.02.0406;;;;;
650;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;1;Expediente/Papel Cartolina - Amarela;6 TARJETAS 10 X 30 CM AMARELO;01.02.0406;;;;;
651;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;1;Expediente/Papel Cartolina - Branca;6 TARJETAS 10 X 30 CM BRANCA;01.02.0406;;;;;
684;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;1;Expediente/Papel Cartolina - Verde;6 TARJETAS 10 X 30 CM VERDE;01.02.0409;;;;;
699;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;90;Expediente/Papel Sulfit - Azul;TARJETAS DE PAPEL SULFITE (10CM X 25CM) COR AZUL;01.02.0421;;;;;
703;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;60;Expediente/Papel Sulfit - Rosa;TARJETAS DE PAPEL SULFITE (10CM X 25CM) COR VERMELHA;01.02.0422;;;;;
705;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;30;Expediente/Papel Sulfit - Verde;TARJETAS DE PAPEL SULFITE (10CM X 25CM) COR VERDE;01.02.0425;;;;;
807;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;30;Expediente/Bloco Notas Adesivas Removiveis 76x102 mm;BLOCOS DE POST-IT – COR AMARELA;01.02.0607;;;;;
808;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;30;Expediente/Bloco Notas Adesivas Removiveis 76x102 mm;BLOCOS DE POST-IT – COR AZUL;01.02.0607;;;;;
809;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;30;Expediente/Bloco Notas Adesivas Removiveis 76x102 mm;BLOCOS DE POST-IT – COR LARANJA;01.02.0607;;;;;
942;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;NP;Matriz/Caneta - Produto Sustentavel;;01.06.0237;;;;;
957;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;1;Check Item/CD/MÚSICA RELAXANTE;;;;;;;
968;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;1;Check Item/CESTA DE LIXO;Pode ser o lixo da sala se estiver limpo ou cesta confeccionada em jornal ou um saco plástico;;;;;;
1065;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;30;Gráfica/Certificado - Matriz- Produto Sustentavel;;02.01.0483;;;;;
1107;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;NP;Gráfica/Bloco de Anotação - Matriz - Produto Sustentavel;;02.01.0487;;;;;
1317;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;1;Expediente/Papel Cartolina - Laranja;6 TARJETAS 10 X 30 CM LARANJA;;;;;;
1397;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;15;Impresso/CÓPIA DO ANEXO 1 - FICHAS EM CARTOLINA - CÓPIA 1;;;;;;;
1401;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;15;Impresso/CÓPIA DO ANEXO 1 -FICHAS EM CARTOLINA – CÓPIA 2;;;;;;;
1410;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;1;Impresso/CÓPIA DO ANEXO 2 – KIT - PASSO A PASSO NA ESCOLHA UMA FRANQUIA – CÓPIA 1;;;;;;;
1413;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;1;Impresso/CÓPIA DO ANEXO 2 – KIT - PASSO A PASSO NA ESCOLHA UMA FRANQUIA – CÓPIA 2;;;;;;;
1418;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;1;Impresso/CÓPIA DO ANEXO 2 – KIT - PASSO A PASSO NA ESCOLHA UMA FRANQUIA – CÓPIA 3;;;;;;;
1419;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;1;Impresso/CÓPIA DO ANEXO 2 – KIT - PASSO A PASSO NA ESCOLHA UMA FRANQUIA – CÓPIA 4;;;;;;;
1420;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;1;Impresso/CÓPIA DO ANEXO 2 - KIT - PASSO A PASSO NA ESCOLHA UMA FRANQUIA – CÓPIA 5;;;;;;;
1630;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;NP;Manual do Participante;;;;;;;
1757;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;1;Matriz/Lista de Presença;;;;;;;
1925;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;3;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Azul;;01.02.0120;;;;;
1970;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;3;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Preto;;01.02.0190;;;;;
2008;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;3;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Verde;;01.02.0345;;;;;
2131;BA00000000516/010000002115;Análise de Ofertas de Franquias para Começar Bem;3;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Vermelha;;01.02.0346;;;;;
375;BA00000000750/1440000219;Análise do ambiente externo:Identificando oportunidades Na Medida;50;Expediente/Papel Flip Chart;;01.02.0179;;;;;
448;BA00000000750/1440000219;Análise do ambiente externo:Identificando oportunidades Na Medida;2;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Preto;;01.02.0190;;;;;
823;BA00000000750/1440000219;Análise do ambiente externo:Identificando oportunidades Na Medida;NP;Na medida/Bloco;;01.06.0001;;;;;
845;BA00000000750/1440000219;Análise do ambiente externo:Identificando oportunidades Na Medida;NP;Na medida/Pasta;;01.06.0002;;;;;
867;BA00000000750/1440000219;Análise do ambiente externo:Identificando oportunidades Na Medida;NP;Na medida/Caneta;;01.06.0005;;;;;
890;BA00000000750/1440000219;Análise do ambiente externo:Identificando oportunidades Na Medida;NP;Na medida/Certificado;;01.06.0006;;;;;
998;BA00000000750/1440000219;Análise do ambiente externo:Identificando oportunidades Na Medida;1;Check Item/Vídeo do Na Medida;;;;;;;
1649;BA00000000750/1440000219;Análise do ambiente externo:Identificando oportunidades Na Medida;NP;Manual do Participante;;;;;;;
1700;BA00000000750/1440000219;Análise do ambiente externo:Identificando oportunidades Na Medida;NP;Matriz/Formulário de avaliação;;;;;;;
3008;BA00000000750/1440000219;Análise do ambiente externo:Identificando oportunidades Na Medida;1;Caixa de Som ;;01.08.0010 ;;;;;
3070;BA00000000750/1440000219;Análise do ambiente externo:Identificando oportunidades Na Medida;NP;Evento/Coffee Break - TIPO 1 ;;02.01.0222 ;;;;;
3136;BA00000000750/1440000219;Análise do ambiente externo:Identificando oportunidades Na Medida;1;Evento/Computador ;;02.01.0046 ;;;;;
3199;BA00000000750/1440000219;Análise do ambiente externo:Identificando oportunidades Na Medida;1;Evento/Flip Chart ;;02.01.0054 ;;;;;
3265;BA00000000750/1440000219;Análise do ambiente externo:Identificando oportunidades Na Medida;1;Evento/Projetor multimídia com rack - Tipo 1 ;;02.01.0263 ;;;;;
3334;BA00000000750/1440000219;Análise do ambiente externo:Identificando oportunidades Na Medida;1;Serviços Prestados Instrutoria ;;02.01.0998 ;;;;;
3400;BA00000000750/1440000219;Análise do ambiente externo:Identificando oportunidades Na Medida;1;Tela de Projeção ;;01.08.0057 ;;;;;
11;BA00000000751/1440000317;ANALISE DO PERFIL DO POTENCIAL FRANQUEADO;NP;Expediente/Borracha - Bicolor - Macia 52x18x7 mm;;01.02.0016;;;;;
43;BA00000000751/1440000317;ANALISE DO PERFIL DO POTENCIAL FRANQUEADO;NP;Expediente/Crachá Plástico com Prendedor - PCT 50;;01.02.0037;;;;;
283;BA00000000751/1440000317;ANALISE DO PERFIL DO POTENCIAL FRANQUEADO;1;Expediente/Papel Cartolina - Amarela;;01.02.0090;;;;;
295;BA00000000751/1440000317;ANALISE DO PERFIL DO POTENCIAL FRANQUEADO;20;Expediente/Pasta com Aba de Elástico Tamanho Ofício ;;01.02.0110;;;;;
376;BA00000000751/1440000317;ANALISE DO PERFIL DO POTENCIAL FRANQUEADO;5;Expediente/Papel Flip Chart;;01.02.0179;;;;;
479;BA00000000751/1440000317;ANALISE DO PERFIL DO POTENCIAL FRANQUEADO;5;Expediente/Hidrocor - 12 Cores;;01.02.0222;;;;;
497;BA00000000751/1440000317;ANALISE DO PERFIL DO POTENCIAL FRANQUEADO;4;Expediente/Fita Adesiva - Crepe - 19x50;;01.02.0313;;;;;
587;BA00000000751/1440000317;ANALISE DO PERFIL DO POTENCIAL FRANQUEADO;1;Expediente/Papel Cartolina - Azul;5 TARJETAS 10 X 30 CM AZUL;01.02.0405;;;;;
647;BA00000000751/1440000317;ANALISE DO PERFIL DO POTENCIAL FRANQUEADO;1;Expediente/Papel Cartolina - Amarela;5 TARJETAS 10 X 30 CM AMARELO;01.02.0406;;;;;
648;BA00000000751/1440000317;ANALISE DO PERFIL DO POTENCIAL FRANQUEADO;1;Expediente/Papel Cartolina - Branca;5 TARJETAS 10 X 30 CM BRANCA;01.02.0406;;;;;
682;BA00000000751/1440000317;ANALISE DO PERFIL DO POTENCIAL FRANQUEADO;1;Expediente/Papel Cartolina - Verde;;01.02.0409;;;;;
704;BA00000000751/1440000317;ANALISE DO PERFIL DO POTENCIAL FRANQUEADO;5;Expediente/Papel Sulfit - Verde;TARJETAS DE PAPEL SULFITE (10CM X 30CM) COR VERDE;01.02.0425;;;;;
937;BA00000000751/1440000317;ANALISE DO PERFIL DO POTENCIAL FRANQUEADO;NP;Matriz/Caneta - Produto Sustentavel;;01.06.0237;;;;;
967;BA00000000751/1440000317;ANALISE DO PERFIL DO POTENCIAL FRANQUEADO;1;Check Item/CESTA DE LIXO;Pode ser o lixo da sala se estiver limpo ou cesta confeccionada em jornal ou um saco plástico;;;;;;
1061;BA00000000751/1440000317;ANALISE DO PERFIL DO POTENCIAL FRANQUEADO;20;Gráfica/Certificado - Matriz- Produto Sustentavel;;02.01.0483;;;;;
1102;BA00000000751/1440000317;ANALISE DO PERFIL DO POTENCIAL FRANQUEADO;NP;Gráfica/Bloco de Anotação - Matriz - Produto Sustentavel;;02.01.0487;;;;;
1324;BA00000000751/1440000317;ANALISE DO PERFIL DO POTENCIAL FRANQUEADO;20;Expediente/Papel Sulfit - Folha;TARJETAS DE PAPEL SULFITE (10CM X 25CM COR BRANCA;;;;;;
1367;BA00000000751/1440000317;ANALISE DO PERFIL DO POTENCIAL FRANQUEADO;4;Impressão/FOLHA VITRINE - Anexo I;;;;;;;
1593;BA00000000751/1440000317;ANALISE DO PERFIL DO POTENCIAL FRANQUEADO;NP;Manual do Participante;;;;;;;
1753;BA00000000751/1440000317;ANALISE DO PERFIL DO POTENCIAL FRANQUEADO;2;Matriz/Lista de Presença;;;;;;;
1917;BA00000000751/1440000317;ANALISE DO PERFIL DO POTENCIAL FRANQUEADO;3;Expediente/Pincel Atômico Espessura  2/4.5/8 mm - Azul;;01.02.0120;;;;;
